sku,qty,ref,val
A-321,3,C1 C2 C3,1u
A-214,1,C4,0.1u
A-615,1,D1,1n914
A-4118,1,J3,Barrel_Jack
A-111,1,Q1,2N3904
A-2310,10,R1 R5,4.7k
A-2200,10,R2 R15,1k
A-2201,10,R3 R4 R7,1.2k
A-2281,10,R6,680
A-2193,10,R8 R10,75
A-2210,10,R9,150k
A-2190,10,R11,47
A-2247,10,R12,470
A-2278,10,R13,180
A-2202,10,R14,1.5k
A-2245,10,R16,100
A-022,1,U1,LM339
A-500,1,U2,LM317
A-004,1,-,14pin-socket
